Team,AST,APG,TO,TOPG,AP40M,AST/TO
Serbia,203,25.4,110,13.8,5.1,1.8
Australia,182,22.8,121,15.1,4.4,1.5
Spain,182,22.8,99,12.4,4.4,1.8
Canada,113,22.6,59,11.8,4.5,1.9
New Zealand,113,22.6,67,13.4,4.5,1.7
Czech Republic,170,21.3,98,12.3,4.3,1.7
USA,165,20.6,84,10.5,4.1,2
Nigeria,103,20.6,73,14.6,4.1,1.4
Greece,102,20.4,52,10.4,4.1,2
Germany,99,19.8,62,12.4,4,1.6
Argentina,157,19.6,94,11.8,3.9,1.7
Turkey,98,19.6,54,10.8,3.8,1.8
Brazil,96,19.2,54,10.8,3.8,1.8
Tunisia,95,19,53,10.6,3.8,1.8
Lithuania,93,18.6,51,10.2,3.7,1.8
Russia,93,18.6,68,13.6,3.7,1.4
Italy,91,18.2,63,12.6,3.6,1.4
Korea,91,18.2,74,14.8,3.6,1.2
Iran,89,17.8,73,14.6,3.6,1.2
France,141,17.6,86,10.8,3.5,1.6
Montenegro,86,17.2,66,13.2,3.4,1.3
Poland,137,17.1,101,12.6,3.4,1.4
Dominican Republic,81,16.2,67,13.4,3.2,1.2
Cote d'Ivoire,80,16,74,14.8,3.2,1.1
Venezuela,79,15.8,55,11,3.2,1.4
China,76,15.2,60,12,3,1.3
Puerto Rico,73,14.6,68,13.6,2.8,1.1
Senegal,67,13.4,66,13.2,2.7,1
Philippines,66,13.2,75,15,2.6,0.9
Japan,65,13,65,13,2.6,1
Angola,63,12.6,72,14.4,2.5,0.9
Jordan,61,12.2,82,16.4,2.4,0.7
