Team,BLK,PF,BLKPG,BLKP40M,BLK/PF
Nigeria,31,93,6.2,1.2,0.3
Senegal,24,92,4.8,1,0.3
France,34,164,4.3,0.9,0.2
Tunisia,21,81,4.2,0.8,0.3
USA,32,147,4,0.8,0.2
Germany,20,93,4,0.8,0.2
Italy,19,95,3.8,0.7,0.2
Montenegro,18,108,3.6,0.7,0.2
Spain,26,155,3.3,0.6,0.2
Greece,16,100,3.2,0.6,0.2
Korea,16,85,3.2,0.6,0.2
Argentina,24,166,3,0.6,0.1
Lithuania,15,101,3,0.6,0.1
New Zealand,15,119,3,0.6,0.1
Poland,23,143,2.9,0.6,0.2
Serbia,23,160,2.9,0.6,0.1
China,14,109,2.8,0.5,0.1
Puerto Rico,13,108,2.6,0.5,0.1
Czech Republic,20,139,2.5,0.5,0.1
Angola,12,107,2.4,0.5,0.1
Canada,12,104,2.4,0.5,0.1
Dominican Republic,12,101,2.4,0.5,0.1
Iran,12,90,2.4,0.5,0.1
Russia,12,121,2.4,0.5,0.1
Turkey,12,100,2.4,0.5,0.1
Australia,18,144,2.3,0.4,0.1
Brazil,10,94,2,0.4,0.1
Cote d'Ivoire,7,80,1.4,0.3,0.1
Philippines,7,112,1.4,0.3,0.1
Venezuela,7,117,1.4,0.3,0.1
Jordan,6,89,1.2,0.2,0.1
Japan,3,70,0.6,0.1,0
