Team,STL,STLPG,STLP40M,TO,TOPG,PF,STL/TO,STL/PF
Nigeria,56,11.2,2.2,73,14.6,93,0.8,0.6
Argentina,80,10,2,94,11.8,166,0.9,0.5
Spain,72,9,1.7,99,12.4,155,0.7,0.5
China,44,8.8,1.7,60,12,109,0.7,0.4
Canada,43,8.6,1.7,59,11.8,104,0.7,0.4
Dominican Republic,42,8.4,1.7,67,13.4,101,0.6,0.4
Italy,42,8.4,1.6,63,12.6,95,0.7,0.4
Montenegro,42,8.4,1.7,66,13.2,108,0.6,0.4
Greece,41,8.2,1.6,52,10.4,100,0.8,0.4
Turkey,41,8.2,1.6,54,10.8,100,0.8,0.4
Japan,39,7.8,1.6,65,13,70,0.6,0.6
Brazil,38,7.6,1.5,54,10.8,94,0.7,0.4
Tunisia,38,7.6,1.5,53,10.6,81,0.7,0.5
USA,60,7.5,1.5,84,10.5,147,0.7,0.4
Germany,37,7.4,1.5,62,12.4,93,0.6,0.4
Puerto Rico,37,7.4,1.4,68,13.6,108,0.5,0.3
Russia,37,7.4,1.5,68,13.6,121,0.5,0.3
Venezuela,37,7.4,1.5,55,11,117,0.7,0.3
Serbia,57,7.1,1.4,110,13.8,160,0.5,0.4
Cote d'Ivoire,34,6.8,1.4,74,14.8,80,0.5,0.4
Senegal,34,6.8,1.4,66,13.2,92,0.5,0.4
Iran,32,6.4,1.3,73,14.6,90,0.4,0.4
Lithuania,32,6.4,1.3,51,10.2,101,0.6,0.3
Philippines,32,6.4,1.2,75,15,112,0.4,0.3
Poland,50,6.3,1.2,101,12.6,143,0.5,0.3
Korea,31,6.2,1.2,74,14.8,85,0.4,0.4
France,48,6,1.2,86,10.8,164,0.6,0.3
Jordan,30,6,1.2,82,16.4,89,0.4,0.3
Angola,28,5.6,1.1,72,14.4,107,0.4,0.3
Czech Republic,40,5,1,98,12.3,139,0.4,0.3
Australia,39,4.9,0.9,121,15.1,144,0.3,0.3
New Zealand,24,4.8,1,67,13.4,119,0.4,0.2
