Season,NameLong,pts,pts_fastbreak,fast_break_ratio
2020-21,秋田ノーザンハピネッツ,"4,572 ",764 ,16.7%
2020-21,エヴェッサ大阪,"4,561 ",743 ,16.3%
2020-21,島根スサノオマジック,"4,692 ",724 ,15.4%
2017-18,千葉ジェッツ,"5,072 ",780 ,15.4%
2019-20,秋田ノーザンハピネッツ,"3,094 ",473 ,15.3%
2018-19,アルバルク東京,"4,692 ",703 ,15.0%
2019-20,千葉ジェッツ,"3,353 ",499 ,14.9%
2019-20,サンロッカーズ渋谷,"3,503 ",515 ,14.7%
2018-19,千葉ジェッツ,"5,157 ",755 ,14.6%
2019-20,レバンガ北海道,"3,023 ",440 ,14.6%
2020-21,宇都宮ブレックス,"4,880 ",705 ,14.4%
2019-20,エヴェッサ大阪,"3,201 ",459 ,14.3%
2019-20,名古屋ダイヤモンドドルフィンズ,"3,004 ",424 ,14.1%
2020-21,サンロッカーズ渋谷,"5,080 ",717 ,14.1%
2020-21,千葉ジェッツ,"5,073 ",712 ,14.0%
2019-20,宇都宮ブレックス,"3,266 ",448 ,13.7%
2018-19,名古屋ダイヤモンドドルフィンズ,"4,871 ",657 ,13.5%
2018-19,秋田ノーザンハピネッツ,"4,279 ",575 ,13.4%
2017-18,滋賀レイクスターズ,"4,416 ",588 ,13.3%
2020-21,三遠ネオフェニックス,"4,466 ",590 ,13.2%
2017-18,栃木ブレックス,"4,494 ",586 ,13.0%
2017-18,レバンガ北海道,"4,766 ",619 ,13.0%
2019-20,川崎ブレイブサンダース,"3,321 ",430 ,12.9%
2019-20,横浜ビー・コルセアーズ,"3,038 ",386 ,12.7%
2019-20,アルバルク東京,"3,240 ",401 ,12.4%
2020-21,名古屋ダイヤモンドドルフィンズ,"4,560 ",564 ,12.4%
2019-20,三遠ネオフェニックス,"2,839 ",351 ,12.4%
2018-19,横浜ビー・コルセアーズ,"4,499 ",556 ,12.4%
2019-20,富山グラウジーズ,"3,118 ",385 ,12.3%
2018-19,三遠ネオフェニックス,"4,420 ",543 ,12.3%
2019-20,島根スサノオマジック,"2,922 ",358 ,12.3%
2018-19,サンロッカーズ渋谷,"4,516 ",553 ,12.2%
2018-19,栃木ブレックス,"4,873 ",591 ,12.1%
2020-21,新潟アルビレックスBB,"4,131 ",500 ,12.1%
2020-21,広島ドラゴンフライズ,"4,180 ",497 ,11.9%
2019-20,新潟アルビレックスBB,"2,881 ",335 ,11.6%
2020-21,レバンガ北海道,"4,477 ",520 ,11.6%
2017-18,島根スサノオマジック,"4,253 ",491 ,11.5%
2018-19,富山グラウジーズ,"5,022 ",578 ,11.5%
2017-18,アルバルク東京,"4,754 ",545 ,11.5%
2020-21,川崎ブレイブサンダース,"4,931 ",563 ,11.4%
2018-19,川崎ブレイブサンダース,"4,805 ",548 ,11.4%
2020-21,京都ハンナリーズ,"4,499 ",513 ,11.4%
2019-20,京都ハンナリーズ,"3,113 ",350 ,11.2%
2020-21,富山グラウジーズ,"5,350 ",586 ,11.0%
2017-18,西宮ストークス,"4,328 ",473 ,10.9%
2017-18,横浜ビー・コルセアーズ,"4,522 ",490 ,10.8%
2017-18,富山グラウジーズ,"4,644 ",503 ,10.8%
2019-20,琉球ゴールデンキングス,"3,226 ",349 ,10.8%
2018-19,レバンガ北海道,"4,266 ",461 ,10.8%
2019-20,滋賀レイクスターズ,"3,108 ",327 ,10.5%
2019-20,シーホース三河,"3,376 ",351 ,10.4%
2018-19,ライジングゼファー福岡,"4,371 ",451 ,10.3%
2017-18,サンロッカーズ渋谷,"4,276 ",440 ,10.3%
2017-18,名古屋ダイヤモンドドルフィンズ,"4,753 ",488 ,10.3%
2018-19,滋賀レイクスターズ,"4,375 ",443 ,10.1%
2020-21,滋賀レイクスターズ,"4,590 ",459 ,10.0%
2017-18,エヴェッサ大阪,"4,418 ",436 ,9.9%
2020-21,横浜ビー・コルセアーズ,"4,320 ",419 ,9.7%
2017-18,琉球ゴールデンキングス,"4,495 ",425 ,9.5%
2018-19,エヴェッサ大阪,"4,117 ",388 ,9.4%
2020-21,琉球ゴールデンキングス,"4,638 ",436 ,9.4%
2020-21,シーホース三河,"4,663 ",435 ,9.3%
2017-18,三遠ネオフェニックス,"4,370 ",388 ,8.9%
2020-21,アルバルク東京,"4,651 ",410 ,8.8%
2018-19,琉球ゴールデンキングス,"4,486 ",389 ,8.7%
2018-19,新潟アルビレックスBB,"4,811 ",414 ,8.6%
2017-18,シーホース三河,"5,078 ",432 ,8.5%
2017-18,川崎ブレイブサンダース,"4,942 ",412 ,8.3%
2017-18,新潟アルビレックスBB,"4,857 ",402 ,8.3%
2018-19,シーホース三河,"4,742 ",391 ,8.2%
2018-19,京都ハンナリーズ,"4,642 ",363 ,7.8%
2016-17,千葉ジェッツ,"4,935 ",373 ,7.6%
2020-21,信州ブレイブウォリアーズ,"3,881 ",286 ,7.4%
2016-17,レバンガ北海道,"4,421 ",308 ,7.0%
2017-18,京都ハンナリーズ,"4,683 ",325 ,6.9%
2016-17,川崎ブレイブサンダース,"5,057 ",344 ,6.8%
2016-17,富山グラウジーズ,"4,551 ",308 ,6.8%
2016-17,栃木ブレックス,"4,829 ",324 ,6.7%
2016-17,仙台89ERS,"4,052 ",263 ,6.5%
2016-17,京都ハンナリーズ,"4,487 ",281 ,6.3%
2016-17,アルバルク東京,"4,884 ",300 ,6.1%
2016-17,サンロッカーズ渋谷,"4,488 ",270 ,6.0%
2016-17,琉球ゴールデンキングス,"4,536 ",255 ,5.6%
2016-17,滋賀レイクスターズ,"4,468 ",238 ,5.3%
2016-17,三遠ネオフェニックス,"4,581 ",244 ,5.3%
2016-17,名古屋ダイヤモンドドルフィンズ,"4,639 ",247 ,5.3%
2016-17,秋田ノーザンハピネッツ,"4,224 ",224 ,5.3%
2016-17,エヴェッサ大阪,"4,466 ",236 ,5.3%
2016-17,新潟アルビレックスBB,"4,670 ",238 ,5.1%
2016-17,横浜ビー・コルセアーズ,"4,366 ",171 ,3.9%
2016-17,シーホース三河,"4,936 ",187 ,3.8%
