"","name","P3A","P3M","rn","P3per","tile_10per","tile_25per","tile_50per","tile_75per","tile_90per"
"1","ディージェイ・ニュービル",87,29,1,0.333333333333333,0.303375012542228,0.32303217524086,0.347614767194448,0.370436998817268,0.391520836498925
"2","ジュリアン・マブンガ",82,25,2,0.304878048780488,0.288204431492577,0.310350404438163,0.333744961055326,0.358188502201498,0.378638991189102
"3","富樫 勇樹",79,26,3,0.329113924050633,0.299325643609343,0.320312672073345,0.344190059776454,0.368549955731912,0.389597834794361
"4","安藤 誓哉",72,23,4,0.319444444444444,0.294502765347573,0.316381619122114,0.340711990039951,0.36641383086065,0.388443677509175
"5","ジョーダン・グリン",69,33,5,0.478260869565217,0.35880007523991,0.381571674839146,0.405775822836293,0.431699819595902,0.453109375285839
"6","金丸 晃輔",69,33,6,0.478260869565217,0.35880007523991,0.381571674839146,0.405775822836293,0.431699819595902,0.453109375285839
"7","コティ・クラーク",68,25,7,0.367647058823529,0.316908533322275,0.337218967686603,0.361638238924632,0.386666683175055,0.406964863714551
"8","辻 直人",68,29,8,0.426470588235294,0.339176595966175,0.359169664215366,0.382626027146828,0.407751785787791,0.429218133767735
"9","福澤 晃平",64,24,9,0.375,0.317718833705898,0.339692475849745,0.365278555354319,0.390456458299006,0.409908203574462
"10","古川 孝敏",59,25,10,0.423728813559322,0.335732918338868,0.357401554771604,0.38280703595812,0.409152126733409,0.43208761316651
"11","岸本 隆一",59,22,11,0.372881355932203,0.314870019873286,0.336721761225287,0.363278839171765,0.389283697260219,0.409430200864614
"12","岡田 侑大",58,23,12,0.396551724137931,0.324761016372838,0.346163749610449,0.371827536795489,0.397238373004857,0.418229375464428
"13","ジョシュ・ハレルソン",58,21,13,0.362068965517241,0.311139259077734,0.332423397697447,0.359435617436702,0.385717247659751,0.406390677127895
"14","今村 佳太",58,19,14,0.327586206896552,0.300388602743441,0.324477421103589,0.34788484916197,0.373456262712647,0.396430478125165
"15","クリストファー・スミス",57,23,15,0.403508771929825,0.325585905557879,0.349072093168251,0.374911491666818,0.400988196100276,0.423407494648828
